"Device Name: 現像室","Model: TR-72wf","Serial Number: 52151BD3"
"Date/Time","Date/Time","No.1","No.2"
"時差:GMT+9:00/夏時間:off","日付のシリアル値(Excel)","温度","湿度"
"","","C","%"
"2023-05-03 22:03:19","45049.918969907","20.5","55"
"2023-05-03 22:13:19","45049.925914352","20.3","54"
"2023-05-03 22:23:19","45049.932858796","18.5","49"
"2023-05-03 22:33:19","45049.939803241","17.4","50"
"2023-05-03 22:43:19","45049.946747685","16.4","53"
"2023-05-03 22:53:19","45049.95369213","15.7","53"
"2023-05-03 23:03:19","45049.960636574","15.1","55"
"2023-05-03 23:13:19","45049.967581019","14.7","57"
"2023-05-03 23:23:19","45049.974525463","14.3","58"
"2023-05-03 23:33:19","45049.981469907","14.0","59"
"2023-05-03 23:43:19","45049.988414352","13.9","59"
"2023-05-03 23:53:19","45049.995358796","13.8","60"
"2023-05-04 00:03:19","45050.002303241","13.7","60"
"2023-05-04 00:13:19","45050.009247685","13.6","60"
"2023-05-04 00:23:19","45050.01619213","13.5","60"
"2023-05-04 00:33:19","45050.023136574","13.4","60"
"2023-05-04 00:43:19","45050.030081019","13.3","59"
"2023-05-04 00:53:19","45050.037025463","13.2","59"
"2023-05-04 01:03:19","45050.043969907","13.2","59"
"2023-05-04 01:13:19","45050.050914352","13.1","59"
"2023-05-04 01:23:19","45050.057858796","13.1","59"
"2023-05-04 01:33:19","45050.064803241","13.0","59"
"2023-05-04 01:43:19","45050.071747685","12.9","59"
"2023-05-04 01:53:19","45050.07869213","12.9","59"
"2023-05-04 02:03:19","45050.085636574","12.7","59"
"2023-05-04 02:13:19","45050.092581019","12.7","59"
"2023-05-04 02:23:19","45050.099525463","12.6","58"
"2023-05-04 02:33:19","45050.106469907","12.5","59"
"2023-05-04 02:43:19","45050.113414352","12.4","59"
"2023-05-04 02:53:19","45050.120358796","12.3","59"
"2023-05-04 03:03:19","45050.127303241","12.2","59"
"2023-05-04 03:13:19","45050.134247685","12.1","59"
"2023-05-04 03:23:19","45050.14119213","12.0","59"
"2023-05-04 03:33:19","45050.148136574","11.8","59"
"2023-05-04 03:43:19","45050.155081019","11.8","59"
"2023-05-04 03:53:19","45050.162025463","11.7","59"
"2023-05-04 04:03:19","45050.168969907","11.6","59"
"2023-05-04 04:13:19","45050.175914352","11.4","59"
"2023-05-04 04:23:19","45050.182858796","11.3","60"
"2023-05-04 04:33:19","45050.189803241","11.2","60"
"2023-05-04 04:43:19","45050.196747685","11.3","59"
"2023-05-04 04:53:19","45050.20369213","11.3","59"
"2023-05-04 05:03:19","45050.210636574","11.1","60"
"2023-05-04 05:13:19","45050.217581019","11.0","60"
"2023-05-04 05:23:19","45050.224525463","10.9","60"
"2023-05-04 05:33:19","45050.231469907","10.9","60"
"2023-05-04 05:43:19","45050.238414352","10.8","60"
"2023-05-04 05:53:19","45050.245358796","10.8","60"
"2023-05-04 06:03:19","45050.252303241","10.7","61"
"2023-05-04 06:13:19","45050.259247685","11.2","61"
"2023-05-04 06:23:19","45050.26619213","10.5","62"
"2023-05-04 06:33:19","45050.273136574","10.4","63"
"2023-05-04 06:43:19","45050.280081019","10.2","63"
"2023-05-04 06:53:19","45050.287025463","10.2","63"
"2023-05-04 07:03:19","45050.293969907","10.1","63"
"2023-05-04 07:13:19","45050.300914352","10.1","64"
"2023-05-04 07:23:19","45050.307858796","10.2","64"
"2023-05-04 07:33:19","45050.314803241","10.3","64"
"2023-05-04 07:43:19","45050.321747685","10.3","64"
"2023-05-04 07:53:19","45050.32869213","10.3","64"
"2023-05-04 08:03:19","45050.335636574","10.4","65"
"2023-05-04 08:13:19","45050.342581019","10.3","62"
"2023-05-04 08:23:19","45050.349525463","10.2","64"
"2023-05-04 08:33:19","45050.356469907","10.2","63"
"2023-05-04 08:43:19","45050.363414352","10.1","64"
"2023-05-04 08:53:19","45050.370358796","10.1","63"
"2023-05-04 09:03:19","45050.377303241","10.0","64"
"2023-05-04 09:13:19","45050.384247685","9.9","63"
"2023-05-04 09:23:19","45050.39119213","9.8","63"
"2023-05-04 09:33:19","45050.398136574","9.7","63"
"2023-05-04 09:43:19","45050.405081019","9.8","63"
"2023-05-04 09:53:19","45050.412025463","9.8","64"
"2023-05-04 10:03:19","45050.418969907","9.7","64"
